index,mese,giorno,ora,rain,temp,radiaz
304,1,13,16.00,0.0,-5.4,24
305,1,13,17.00,0.0,-7.5,0
306,1,13,18.00,0.0,-8.7,0
307,1,13,19.00,0.0,-8.7,0
308,1,13,20.00,0.0,-8.7,0
309,1,13,21.00,0.0,-8.4,0
310,1,13,22.00,0.0,-7.9,0
311,1,13,23.00,0.0,-8.5,0
312,1,13,24.00,0.0,-6.6,0
313,1,14,1.00,0.0,-3.3,0
314,1,14,2.00,0.0,-3.5,0
315,1,14,3.00,0.0,-3.9,0
316,1,14,4.00,0.0,-3.6,0
317,1,14,5.00,0.0,-3.7,0
318,1,14,6.00,0.0,-4.3,0
319,1,14,7.00,0.0,-4.9,5
320,1,14,8.00,0.0,-4.9,87
321,1,14,9.00,0.0,-3.4,288
322,1,14,10.00,0.0,-2.2,289
323,1,14,11.00,0.5,-0.1,182
324,1,14,12.00,0.1,2.9,1510
325,1,14,13.00,0.0,1.0,867
326,1,14,14.00,0.0,0.8,655
327,1,14,15.00,0.0,0.5,325
328,1,14,16.00,0.0,-2.6,38
329,1,14,17.00,0.0,-4.6,0
330,1,14,18.00,0.0,-5.9,0
331,1,14,19.00,0.0,-8.3,0
332,1,14,20.00,0.0,-9.1,0
333,1,14,21.00,0.0,-9.9,0
334,1,14,22.00,0.0,-10.0,0
335,1,14,23.00,0.0,-9.8,0
336,1,14,24.00,0.0,-10.3,0
337,1,15,1.00,0.0,-11.6,0
338,1,15,2.00,0.0,-11.8,0
339,1,15,3.00,0.0,-12.8,0
340,1,15,4.00,0.0,-13.3,0
341,1,15,5.00,0.0,-13.4,0
342,1,15,6.00,0.0,-14.2,0
343,1,15,7.00,0.0,-14.7,4
344,1,15,8.00,0.0,-14.3,131
345,1,15,9.00,0.0,-9.9,1077
346,1,15,10.00,0.0,-7.1,1381
347,1,15,11.00,0.0,-5.5,1581
348,1,15,12.00,0.0,-4.1,1677
349,1,15,13.00,0.0,-3.8,1580
350,1,15,14.00,0.0,-4.2,1225
351,1,15,15.00,0.0,-5.7,86
352,1,15,16.00,0.0,-9.3,24
353,1,15,17.00,0.0,-10.8,0
354,1,15,18.00,0.0,-11.7,0
355,1,15,19.00,0.0,-12.2,0
356,1,15,20.00,0.0,-13.2,0
357,1,15,21.00,0.0,-13.9,0
358,1,15,22.00,0.0,-12.9,0
359,1,15,23.00,0.0,-13.5,0
360,1,15,24.00,0.0,-13.3,0
361,1,16,1.00,0.0,-15.1,0
362,1,16,2.00,0.0,-14.7,0
363,1,16,3.00,0.0,-16.1,0
364,1,16,4.00,0.0,-14.8,0
365,1,16,5.00,0.0,-13.4,0
366,1,16,6.00,0.0,-14.8,0
367,1,16,7.00,0.0,-15.5,4
368,1,16,8.00,0.0,-14.4,186
369,1,16,9.00,0.0,-10.1,1069
370,1,16,10.00,0.0,-7.2,1377
371,1,16,11.00,0.0,-4.8,1569
372,1,16,12.00,0.0,-1.8,1685
373,1,16,13.00,0.0,-1.7,1209
374,1,16,14.00,0.0,-3.1,1259
375,1,16,15.00,0.0,-6.9,88
376,1,16,16.00,0.0,-7.8,23
377,1,16,17.00,0.0,-10.0,0
378,1,16,18.00,0.0,-11.0,0
379,1,16,19.00,0.0,-11.7,0
380,1,16,20.00,0.0,-11.7,0
381,1,16,21.00,0.0,-12.7,0
382,1,16,22.00,0.0,-12.1,0
383,1,16,23.00,0.0,-12.9,0
384,1,16,24.00,0.0,-12.0,0
385,1,17,1.00,0.0,-11.5,0
386,1,17,2.00,0.0,-11.2,0
387,1,17,3.00,0.0,-12.8,0
388,1,17,4.00,0.0,-12.5,0
389,1,17,5.00,0.0,-12.7,0
390,1,17,6.00,0.0,-13.1,0
391,1,17,7.00,0.0,-13.5,5
392,1,17,8.00,0.0,-13.5,142
393,1,17,9.00,0.0,-10.7,451
394,1,17,10.00,0.0,-9.6,608
395,1,17,11.00,0.0,-7.9,546
396,1,17,12.00,0.0,-6.5,448
397,1,17,13.00,0.0,-7.0,302
398,1,17,14.00,0.0,-7.3,245
399,1,17,15.00,0.0,-8.1,147
400,1,17,16.00,0.0,-10.6,36
401,1,17,17.00,0.0,-10.9,0
402,1,17,18.00,0.0,-12.5,0
403,1,17,19.00,0.0,-12.4,0
404,1,17,20.00,0.0,-13.3,0
405,1,17,21.00,0.0,-12.6,0
406,1,17,22.00,0.0,-13.1,0
407,1,17,23.00,0.0,-10.5,0
